,project,GitHub,R1,R5,R10,number-of-commits,number-of-entities,number-of-entities-changed,number-of-authors,max-age-months,avg-age-months,avg2-degree-coupling,avg2-strength-communication,avg2-author-revs-effort,avg2-total-revs-effort,avg2-ownership-added,avg2-ownership-deleted,avg-author-churn-added,avg-author-churn-deleted,avg-author-churn-commits,avg-entity-churn-added,avg-entity-churn-deleted,avg-entity-churn-commits,avg-fragmentation-fractal-value,avg-fragmentation-total-revs,avg-main-dev-ownership,avg-refactoring-main-dev-ownership,avg-revisions,avg-soc
20,pdfbox,https://github.com/apache/pdfbox.git ,0.6681,0.1331,0.0177,12175.0,7679.0,33937.0,20.0,200.0,135.94621695533272,51.4258830995844,4.462967318629083,1.9994255617774308,4.41945565828884,132.19279833476992,72.07118548422103,77568.8,48857.05,608.75,202.0283891131658,127.24846985284542,4.41945565828884,0.16324013543430416,4.41945565828884,0.5985427790076827,0.5593879411381697,4.41945565828884,401.27400930757295
21,tomcat,https://github.com/apache/tomcat.git ,0.3853,0.0085,0.0001,26806.0,8884.0,93560.0,172.0,226.0,78.66479063484917,51.006254532269764,5.99558575021824,2.844352976623979,10.531292210715893,88.80503658803323,57.782773573439556,13862.32558139535,9038.39534883721,155.84883720930233,268.3836109860423,174.9891940567312,10.531292210715893,0.2722701485817216,10.531292210715893,0.761736830256636,0.6765736154885158,10.531292210715893,902.0860635696821
22,SimianArmy,https://github.com/Netflix/SimianArmy.git,0.9563,0.7998,0.6398,548.0,416.0,1935.0,59.0,155.0,127.11057692307692,56.1,17.717341565356175,1.8188853979466326,4.6514423076923075,49.55963480752827,7.933153821128264,755.8983050847457,146.52542372881356,9.288135593220339,107.20673076923077,20.78125,4.6514423076923075,0.30004807692307667,4.6514423076923075,0.8308173076923079,0.550528846153846,4.6514423076923075,77.69272237196766
23,groovy,https://github.com/apache/groovy.git ,0.5691,0.0597,0.0036,20560.0,16896.0,80601.0,474.0,257.0,113.5661103219697,55.1677825605379,7.954983243250228,1.6578004064118685,4.770419034090909,45.00468056135421,28.724754001504632,4339.559071729957,2782.4725738396623,43.37552742616034,121.7418915719697,78.05942234848484,4.770419034090909,0.2688461766098416,4.770419034090909,0.6522236032196908,0.5737026515151497,4.770419034090909,1566.0367519722918
24,jfreechart,https://github.com/jfree/jfreechart.git,0.9759,0.8849,0.7831,3310.0,5222.0,21967.0,39.0,211.0,100.76503255457679,66.29973076885828,8.809623721465826,3.5312694157198186,4.20662581386442,116.0477616068769,60.94916911357931,20040.410256410258,12675.358974358975,84.87179487179488,149.66985829184222,94.66468785905784,4.20662581386442,0.05871945614707011,4.20662581386442,0.7310532363079315,0.7006951359632341,4.20662581386442,971.9474409448819
25,phoenix,https://github.com/apache/phoenix.git,0.758,0.2503,0.0626,3955.0,7236.0,30186.0,205.0,132.0,70.04173576561637,51.14130690638228,6.000299310165443,1.299468863449518,4.1716417910447765,64.58698349857717,15.543103706146503,5372.848780487805,2042.1560975609757,19.29268292682927,152.2158651188502,57.85544499723604,4.1716417910447765,0.22019624101713725,4.1716417910447765,0.6629836926478703,0.4543269762299611,4.1716417910447765,806.2918911256025
26,tomee,https://github.com/apache/tomee.git,0.6649,0.13,0.0169,14556.0,21657.0,143016.0,169.0,229.0,123.63540656600637,57.75027979777992,3.7652474042179307,1.767800658155973,6.603684720875467,64.24664197484455,40.63218394103628,17270.745562130178,10152.378698224851,86.1301775147929,134.77194440596574,79.22389989379877,6.603684720875467,0.26215486909542707,6.603684720875467,0.7394422126794885,0.6116562774160669,6.603684720875467,2509.2365410497982
27,accumulo,https://github.com/apache/accumulo.git ,0.6761,0.1413,0.02,9591.0,13786.0,94085.0,203.0,160.0,93.45473668939503,58.173651243736025,2.9506472239219343,1.7187132801597382,6.8246772087625125,62.98725992292166,40.32746977917901,14455.177339901478,10003.916256157636,47.24630541871921,212.853692151458,147.30850137820977,6.8246772087625125,0.3210118961264931,6.8246772087625125,0.6060017408965601,0.6096597997968901,6.8246772087625125,2508.20579018057
28,commons-lang,https://github.com/apache/commons-lang.git ,0.8793,0.5256,0.2762,8167.0,2076.0,22156.0,269.0,270.0,136.45568400770713,55.71325646233054,15.299486309089572,2.3200966431609125,10.672447013487476,96.59558171272492,72.57975495644648,2418.895910780669,1644.8401486988848,30.360594795539033,313.4311175337187,213.1319845857418,10.672447013487476,0.30246676300578396,10.672447013487476,0.6634922928709065,0.6303034682080952,10.672447013487476,463.8705636743215
29,gson,https://github.com/google/gson.git ,0.9518,0.7813,0.6104,1941.0,1172.0,9571.0,170.0,197.0,105.19880546075085,52.528835978835986,24.680094012151045,2.523637335776099,8.166382252559726,110.61430722289064,96.52590694901173,2347.241176470588,2003.3235294117646,11.41764705882353,340.4701365187713,290.5844709897611,8.166382252559726,0.3065614334470981,8.166382252559726,0.7766467576791812,0.741638225255973,8.166382252559726,405.1619135234591
